ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
PPC,2026,Q1,2026-03-29,4532633000,101450000.0,4027242000.0,2720903000.0
PPC,2025,FY,2025-12-28,18497553000,1082359000.0,,
PPC,2025,Q3,2025-09-28,4759342000,343061000.0,4066910000.0,2689066000.0
PPC,2025,Q2,2025-06-29,4757365000,356009000.0,4257211000.0,2619379000.0
PPC,2026,Q1,2025-03-30,4463009000,296343000.0,,
PPC,2025,FY,2024-12-29,17878291000,1086438000.0,5120163000.0,2552133000.0
PPC,2025,Q3,2024-09-29,13506227000,,,
PPC,2025,Q2,2024-06-30,4559314000,,,
PPC,2025,Q1,2024-03-31,4361934000,,,
PPC,2023,FY,2023-12-31,17362217000,321574000.0,,
PPC,2023,Q3,2023-09-24,12833915000,,4429225000.0,2531317000.0
PPC,2023,Q2,2023-06-25,8473719000,,4364834000.0,2542359000.0
PPC,2023,Q1,2023-03-26,4165628000,5631000.0,3822594000.0,2493747000.0
PPC,2024,FY,2022-12-25,17468377000,745930000.0,,
PPC,2023,Q3,2022-09-25,4468969000,,,
PPC,2023,Q2,2022-06-26,8872043000,,,
PPC,2023,Q1,2022-03-27,4240395000,280560000.0,,
PPC,2023,FY,2021-12-26,14777458000,31000000.0,,
PPC,2022,Q3,2021-09-26,3827566000,,,
PPC,2022,Q2,2021-06-27,3637698000,,,
PPC,2022,Q1,2021-03-28,3273425000,,,
PPC,2020,FY,2020-12-27,3117829000,95070000.0,,
PPC,2021,Q3,2020-09-27,3075121000,,,
PPC,2020,FY,2020-06-28,2824023000,,,
