ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
PPLI,2026,Q1,2026-03-31,422893000,-70670000.0,1550621000.0,419782000.0
PPLI,2025,FY,2025-12-31,2393189000,-101470000.0,,
PPLI,2025,Q3,2025-09-30,589793000,-27232000.0,1515447000.0,591673000.0
PPLI,2025,Q2,2025-06-30,1157417000,-3935000.0,1601577000.0,558648000.0
PPLI,2026,Q1,2025-03-31,481686000,,,
PPLI,2025,FY,2024-12-31,2622121000,,,
PPLI,2024,Q3,2024-09-30,2817926000,-333940000.0,2400905000.0,874516000.0
PPLI,2024,Q2,2024-06-30,949527000,,2368288000.0,885019000.0
PPLI,2025,Q1,2024-03-31,624290000,44972000.0,,
PPLI,2023,FY,2023-12-31,4365235000,,,
PPLI,2023,Q3,2023-09-30,3307201000,-61808000.0,2212047000.0,1023211000.0
PPLI,2023,Q2,2023-06-30,2195860000,,2198407000.0,1034194000.0
PPLI,2023,Q1,2023-03-31,1084271000,,2379723000.0,998547000.0
PPLI,2022,FY,2022-12-31,5235280000,,,
PPLI,2022,Q3,2022-09-30,3988827000,-63823000.0,2481163000.0,1085248000.0
PPLI,2023,Q2,2022-06-30,1362581000,-1116292000.0,,
PPLI,2022,Q1,2022-03-31,1325345000,-240893000.0,2784298000.0,1331544000.0
PPLI,2022,FY,2021-12-31,3699627000,,3076219000.0,1381503000.0
PPLI,2022,Q3,2021-09-30,2540185000,,,
PPLI,2022,Q2,2021-06-30,1616117000,520439000.0,,
PPLI,2022,Q1,2021-03-31,786570000,,,
PPLI,2020,FY,2020-12-31,3047681000,507360000.0,,
PPLI,2020,Q3,2020-09-30,2198862000,-238774000.0,4205471000.0,780235000.0
PPLI,2021,Q2,2020-06-30,1286243000,,,
