ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
PRMB,2026,Q1,2026-03-31,1626100000,27300000,1286600000.0,1319400000.0
PRMB,2025,FY,2025-12-31,6664000000,60100000,1217800000.0,1282700000.0
PRMB,2025,Q3,2025-09-30,1766100000,16800000,1466200000.0,1433400000.0
PRMB,2025,Q2,2025-06-30,1730100000,27600000,1502700000.0,1420000000.0
PRMB,2026,Q1,2025-03-31,1613700000,28700000,,
PRMB,2025,FY,2024-12-31,5152500000,-16400000,,
PRMB,2025,Q3,2024-09-30,1305100000,53300000,,
PRMB,2025,Q2,2024-06-30,1314400000,54500000,,
PRMB,2025,Q1,2024-03-31,1135800000,33500000,,
PRMB,2024,FY,2023-12-31,4698700000,92800000,698000000.0,782800000.0
PRMB,2024,FY,2022-12-31,4441100000,-126700000,,
