ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
PSA,2026,Q1,2026-03-31,1217741000,529375000.0,,
PSA,2025,FY,2025-12-31,4824113000,1784348000.0,,
PSA,2025,Q3,2025-09-30,1224043000,1277273000.0,,
PSA,2025,Q2,2025-06-30,1201094000,361411000.0,,
PSA,2026,Q1,2025-03-31,1183184000,,,
PSA,2025,FY,2024-12-31,4695616000,,,
PSA,2025,Q3,2024-09-30,1187758000,,,
PSA,2025,Q2,2024-06-30,2330431000,1032906000.0,,
PSA,2025,Q1,2024-03-31,1157220000,511697000.0,,
PSA,2025,FY,2023-12-31,4517690000,,,
PSA,2024,Q3,2023-09-30,1143820000,,,
PSA,2024,Q2,2023-06-30,1119770000,,,
PSA,2023,Q1,2023-03-31,1094232000,520415000.0,,
PSA,2024,FY,2022-12-31,4182163000,4349147000.0,,
PSA,2023,Q3,2022-09-30,1088131000,3951340000.0,,
PSA,2023,Q2,2022-06-30,1032045000,653850000.0,,
PSA,2023,Q1,2022-03-31,973445000,,,
PSA,2022,FY,2021-12-31,3415824000,,,
PSA,2022,Q3,2021-09-30,894931000,490091000.0,,
PSA,2022,Q2,2021-06-30,829315000,845992000.0,,
PSA,2022,Q1,2021-03-31,767262000,,,
PSA,2020,FY,2020-12-31,2915068000,1357213000.0,,
PSA,2020,Q3,2020-09-30,730657000,1005946000.0,,
PSA,2021,Q2,2020-06-30,712943000,,,
