ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
PYPL,2026,Q1,2026-03-31,8353000000,1113000000.0,59995000000.0,47637000000.0
PYPL,2025,FY,2025-12-31,33172000000,5233000000.0,,
PYPL,2025,Q3,2025-09-30,8417000000,1248000000.0,60176000000.0,44924000000.0
PYPL,2025,Q2,2025-06-30,8288000000,,59879000000.0,45050000000.0
PYPL,2025,Q1,2025-03-31,7791000000,,60611000000.0,46622000000.0
PYPL,2025,FY,2024-12-31,31797000000,4147000000.0,,
PYPL,2024,Q3,2024-09-30,23431000000,,62673000000.0,50268000000.0
PYPL,2024,Q2,2024-06-30,15584000000,,62972000000.0,50713000000.0
PYPL,2025,Q1,2024-03-31,7699000000,888000000.0,,
PYPL,2025,FY,2023-12-31,29771000000,4246000000.0,,
PYPL,2024,Q3,2023-09-30,7418000000,1020000000.0,,
PYPL,2024,Q2,2023-06-30,7287000000,,,
PYPL,2024,Q1,2023-03-31,7040000000,,,
PYPL,2023,FY,2022-12-31,27518000000,2419000000.0,57424000000.0,45008000000.0
PYPL,2023,Q3,2022-09-30,6846000000,1330000000.0,,
PYPL,2022,Q2,2022-06-30,13289000000,-341000000.0,55252000000.0,45095000000.0
PYPL,2023,Q1,2022-03-31,6483000000,,,
PYPL,2023,FY,2021-12-31,25371000000,4169000000.0,,
PYPL,2022,Q3,2021-09-30,6182000000,,,
PYPL,2021,Q2,2021-06-30,12271000000,,53231000000.0,41268000000.0
PYPL,2022,Q1,2021-03-31,6033000000,,,
PYPL,2021,FY,2020-12-31,21454000000,4202000000.0,,
PYPL,2020,Q3,2020-09-30,15338000000,,48704000000.0,35246000000.0
PYPL,2020,Q2,2020-06-30,9879000000,,46500000000.0,33729000000.0
