ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
QRVO,2026,FY,2026-03-28,3678517000,338989000.0,2306314000.0,712757000.0
QRVO,2026,Q3,2025-12-27,992959000,164062000.0,2483098000.0,675699000.0
QRVO,2026,Q2,2025-09-27,1058503000,119603000.0,2376846000.0,804582000.0
QRVO,2026,Q1,2025-06-28,818778000,25594000.0,2246256000.0,798330000.0
QRVO,2026,FY,2025-03-29,3718971000,55615000.0,2167275000.0,783182000.0
QRVO,2025,Q3,2024-12-28,916317000,41271000.0,2096863000.0,807861000.0
QRVO,2026,Q2,2024-09-28,1046509000,-17435000.0,,
QRVO,2026,Q1,2024-06-29,886671000,414000.0,,
QRVO,2026,FY,2024-03-30,3769506000,-70322000.0,,
QRVO,2025,Q3,2023-12-30,1073861000,,,
QRVO,2025,Q2,2023-09-30,1103493000,97461000.0,,
QRVO,2025,Q1,2023-07-01,651164000,-43580000.0,,
QRVO,2023,FY,2023-04-01,3569399000,,,
QRVO,2023,Q3,2022-12-31,743281000,-15931000.0,2257700000.0,613590000.0
QRVO,2024,Q2,2022-10-01,1158057000,188615000.0,,
QRVO,2024,Q1,2022-07-02,1035358000,68884000.0,,
QRVO,2023,FY,2022-04-02,4645714000,,2449865000.0,675127000.0
QRVO,2023,Q3,2022-01-01,1113957000,,,
QRVO,2022,Q2,2021-10-02,1255248000,,2541267000.0,902495000.0
QRVO,2022,Q1,2021-07-03,1110351000,,2374085000.0,703708000.0
QRVO,2021,FY,2021-04-03,4015307000,,,
QRVO,2021,Q3,2021-01-02,2942577000,,2322257000.0,613898000.0
QRVO,2021,Q2,2020-10-03,1847743000,,3062726000.0,1477017000.0
QRVO,2022,Q1,2020-06-27,787451000,96922000.0,,
