ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
QSR,2026,Q1,2026-03-31,2264000000,445000000.0,2154000000.0,2178000000.0
QSR,2025,FY,2025-12-31,9434000000,1075000000.0,,
QSR,2025,Q3,2025-09-30,2449000000,436000000.0,3015000000.0,2847000000.0
QSR,2025,Q2,2025-06-30,2410000000,,2788000000.0,2754000000.0
QSR,2026,Q1,2025-03-31,2109000000,221000000.0,,
QSR,2025,FY,2024-12-31,8406000000,1445000000.0,,
QSR,2025,Q3,2024-09-30,6110000000,1084000000.0,,
QSR,2025,Q2,2024-06-30,2080000000,,,
QSR,2025,Q1,2024-03-31,1739000000,,,
QSR,2025,FY,2023-12-31,7022000000,,,
QSR,2024,Q3,2023-09-30,5202000000,,,
QSR,2024,Q2,2023-06-30,1775000000,,,
QSR,2024,Q1,2023-03-31,1590000000,,,
QSR,2024,FY,2022-12-31,6505000000,,,
QSR,2022,Q3,2022-09-30,1726000000,1146000000.0,1924000000.0,1920000000.0
QSR,2023,Q2,2022-06-30,1639000000,,,
QSR,2023,Q1,2022-03-31,1451000000,,,
QSR,2021,FY,2021-12-31,5739000000,1253000000.0,,
QSR,2022,Q3,2021-09-30,4193000000,,,
QSR,2022,Q2,2021-06-30,1438000000,,,
QSR,2022,Q1,2021-03-31,1260000000,,,
QSR,2022,FY,2020-12-31,4968000000,750000000.0,,
QSR,2021,Q3,2020-09-30,1337000000,,,
QSR,2021,Q2,2020-06-30,1048000000,388000000.0,,
