ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
REGN,2026,Q1,2026-03-31,3605400000,727200000.0,18209200000.0,5107700000.0
REGN,2025,FY,2025-12-31,14342900000,4504900000.0,,
REGN,2025,Q3,2025-09-30,3754300000,1460000000.0,17980700000.0,4425100000.0
REGN,2025,Q2,2025-06-30,3675600000,,16859500000.0,3667000000.0
REGN,2026,Q1,2025-03-31,3028700000,,,
REGN,2025,FY,2024-12-31,14202000000,4412600000.0,,
REGN,2025,Q3,2024-09-30,10412800000,1340600000.0,,
REGN,2024,Q2,2024-06-30,6692100000,1432300000.0,19081600000.0,3508600000.0
REGN,2024,Q1,2024-03-31,3145000000,,18871500000.0,3580900000.0
REGN,2025,FY,2023-12-31,13117200000,,,
REGN,2024,Q3,2023-09-30,3362700000,1007800000.0,,
REGN,2023,Q2,2023-06-30,6320200000,,16923000000.0,3104400000.0
REGN,2023,Q1,2023-03-31,3162100000,,16909200000.0,3100100000.0
REGN,2024,FY,2022-12-31,12172900000,,,
REGN,2022,Q3,2022-09-30,8758500000,,15428600000.0,2879200000.0
REGN,2023,Q2,2022-06-30,2857200000,,,
REGN,2023,Q1,2022-03-31,2965100000,,,
REGN,2023,FY,2021-12-31,16071700000,8075300000.0,,
REGN,2022,Q3,2021-09-30,3452800000,5846300000.0,,
REGN,2022,Q2,2021-06-30,5138500000,,,
REGN,2021,Q1,2021-03-31,2528700000,,10055100000.0,3217800000.0
REGN,2020,FY,2020-12-31,8497100000,1149200000.0,,
REGN,2020,Q3,2020-09-30,6074200000,842100000.0,9097600000.0,2337800000.0
REGN,2021,Q2,2020-06-30,3780200000,,,
