ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
REYN,2026,Q1,2026-03-31,877000000,59000000.0,1105000000.0,616000000.0
REYN,2025,FY,2025-12-31,3721000000,301000000.0,,
REYN,2025,Q3,2025-09-30,931000000,184000000.0,1084000000.0,559000000.0
REYN,2025,Q2,2025-06-30,938000000,73000000.0,1063000000.0,575000000.0
REYN,2026,Q1,2025-03-31,818000000,,,
REYN,2024,FY,2024-12-31,3695000000,,1101000000.0,539000000.0
REYN,2025,Q3,2024-09-30,910000000,86000000.0,,
REYN,2025,Q2,2024-06-30,930000000,145000000.0,,
REYN,2025,Q1,2024-03-31,833000000,,,
REYN,2024,FY,2023-12-31,3756000000,298000000.0,1041000000.0,478000000.0
REYN,2024,Q3,2023-09-30,935000000,161000000.0,,
REYN,2023,Q2,2023-06-30,1814000000,,1146000000.0,465000000.0
REYN,2023,Q1,2023-03-31,874000000,,1133000000.0,490000000.0
REYN,2023,FY,2022-12-31,3817000000,,,
REYN,2023,Q3,2022-09-30,967000000,152000000.0,,
REYN,2023,Q2,2022-06-30,917000000,,,
REYN,2023,Q1,2022-03-31,818000000,,,
REYN,2021,FY,2021-12-31,3556000000,,,
REYN,2022,Q3,2021-09-30,905000000,220000000.0,,
REYN,2021,Q2,2021-06-30,1579000000,,1004000000.0,455000000.0
REYN,2022,Q1,2021-03-31,732000000,74000000.0,,
REYN,2022,FY,2020-12-31,3263000000,,,
REYN,2020,Q3,2020-09-30,2375000000,251000000.0,1079000000.0,401000000.0
REYN,2020,FY,2020-06-30,822000000,,,
