ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
ROKU,2026,Q1,2026-03-31,1248879000,85700000.0,3370626000.0,1158230000.0
ROKU,2025,FY,2025-12-31,4737251000,88361000.0,,
ROKU,2025,Q3,2025-09-30,1210638000,24812000.0,3328692000.0,1215481000.0
ROKU,2025,Q2,2025-06-30,1111038000,10503000.0,3158272000.0,1108188000.0
ROKU,2026,Q1,2025-03-31,1020672000,-27431000.0,,
ROKU,2025,FY,2024-12-31,4112898000,,3234163000.0,1232502000.0
ROKU,2025,Q3,2024-09-30,1062203000,-93838000.0,,
ROKU,2025,Q2,2024-06-30,968179000,-33953000.0,,
ROKU,2025,Q1,2024-03-31,881469000,-50855000.0,,
ROKU,2025,FY,2023-12-31,3484619000,,,
ROKU,2024,Q3,2023-09-30,912018000,,,
ROKU,2023,Q2,2023-06-30,1588176000,,2701494000.0,955504000.0
ROKU,2023,Q1,2023-03-31,740990000,,2595353000.0,831297000.0
ROKU,2024,FY,2022-12-31,3126534000,,,
ROKU,2023,Q3,2022-09-30,761373000,,,
ROKU,2023,Q2,2022-06-30,1498105000,-112321000.0,,
ROKU,2023,Q1,2022-03-31,733699000,,,
ROKU,2023,FY,2021-12-31,2764584000,242385000.0,,
ROKU,2022,Q3,2021-09-30,679953000,68935000.0,,
ROKU,2022,Q2,2021-06-30,645119000,,,
ROKU,2021,Q1,2021-03-31,574183000,76296000.0,2749391000.0,628116000.0
ROKU,2020,FY,2020-12-31,1778388000,-17507000.0,,
ROKU,2020,Q3,2020-09-30,1128502000,-84813000.0,1533095000.0,465674000.0
ROKU,2021,Q2,2020-06-30,676839000,,,
