ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
RYN,2026,Q1,2026-03-31,276787000,-12514000.0,895736000.0,354127000.0
RYN,2025,FY,2025-12-31,483035000,474380000.0,,
RYN,2025,Q3,2025-09-30,177058000,43709000.0,972921000.0,282559000.0
RYN,2025,Q2,2025-06-30,189459000,413607000.0,959923000.0,274250000.0
RYN,2025,Q1,2025-03-31,82613000,,767388000.0,282814000.0
RYN,2024,FY,2024-12-31,1261508000,,,
RYN,2025,Q3,2024-09-30,336327000,,,
RYN,2024,Q2,2024-06-30,341706000,,229979000.0,116104000.0
RYN,2025,Q1,2024-03-31,113704000,,,
RYN,2024,FY,2023-12-31,1056933000,,,
RYN,2023,Q3,2023-09-30,588479000,,222928000.0,110619000.0
RYN,2023,Q2,2023-06-30,208865000,19023000.0,197259000.0,102752000.0
RYN,2024,Q1,2023-03-31,178837000,,,
RYN,2024,FY,2022-12-31,907795000,,,
RYN,2023,Q3,2022-09-30,194881000,20578000.0,,
RYN,2022,Q2,2022-06-30,468387000,24104000.0,369707000.0,108445000.0
RYN,2022,Q1,2022-03-31,221798000,,375098000.0,92662000.0
RYN,2023,FY,2021-12-31,1109597000,,,
RYN,2022,Q3,2021-09-30,364726000,110512000.0,,
RYN,2021,Q2,2021-06-30,482878000,,530954000.0,310193000.0
RYN,2021,Q1,2021-03-31,191215000,10848000.0,190080000.0,100845000.0
RYN,2020,FY,2020-12-31,859154000,,,
RYN,2021,Q3,2020-09-30,198551000,-758000.0,,
RYN,2021,Q2,2020-06-30,195630000,,,
