ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
SBAC,2026,Q1,2026-03-31,47289000,184902000.0,767493000.0,3345690000.0
SBAC,2025,FY,2025-12-31,2815139000,1053632000.0,,
SBAC,2025,Q3,2025-09-30,75900000,684031000.0,812524000.0,1610968000.0
SBAC,2025,Q2,2025-06-30,115232000,443598000.0,523808000.0,1429705000.0
SBAC,2025,Q1,2025-03-31,48039000,220732000.0,933316000.0,1343016000.0
SBAC,2024,FY,2024-12-31,152869000,,,
SBAC,2024,Q3,2024-09-30,1985934000,,450267000.0,667843000.0
SBAC,2025,FY,2024-06-30,660477000,,,
SBAC,2024,Q1,2024-03-31,29586000,,447596000.0,2413289000.0
SBAC,2024,FY,2023-12-31,675024000,,,
SBAC,2024,FY,2023-09-30,682544000,,,
SBAC,2024,Q2,2023-06-30,1354016000,201970000.0,,
SBAC,2023,FY,2023-03-31,675516000,,,
SBAC,2022,FY,2022-12-31,686094000,,,
SBAC,2023,Q3,2022-09-30,88282000,,,
SBAC,2022,Q2,2022-06-30,1271776000,69516000.0,494899000.0,1318200000.0
SBAC,2023,Q1,2022-03-31,619770000,,,
SBAC,2023,FY,2021-12-31,204747000,,,
SBAC,2022,FY,2021-09-30,589305000,,,
SBAC,2022,Q2,2021-06-30,575528000,,,
SBAC,2022,FY,2021-03-31,548739000,,,
SBAC,2021,FY,2020-12-31,535905000,,472990000.0,614801000.0
SBAC,2021,Q3,2020-09-30,1547231000,-82139000.0,,
SBAC,2020,Q2,2020-06-30,24823000,-104247000.0,624086000.0,552659000.0
