ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
SCHW,2026,Q1,2026-03-31,6482000000,2479000000,,
SCHW,2025,FY,2025-12-31,23921000000,8852000000,,
SCHW,2025,Q3,2025-09-30,6135000000,2358000000,,
SCHW,2025,Q2,2025-06-30,5851000000,2126000000,,
SCHW,2026,Q1,2025-03-31,5599000000,1909000000,,
SCHW,2024,FY,2024-12-31,19606000000,5942000000,,
SCHW,2025,Q3,2024-09-30,4847000000,1408000000,,
SCHW,2025,Q2,2024-06-30,4690000000,1332000000,,
SCHW,2024,Q1,2024-03-31,4740000000,1362000000,,
SCHW,2024,FY,2023-12-31,18837000000,5067000000,,
SCHW,2024,Q3,2023-09-30,4606000000,1125000000,,
SCHW,2023,Q2,2023-06-30,4656000000,1294000000,,
SCHW,2024,Q1,2023-03-31,5116000000,1603000000,,
SCHW,2022,FY,2022-12-31,20762000000,7183000000,,
SCHW,2023,Q3,2022-09-30,15265000000,5215000000,,
SCHW,2023,Q2,2022-06-30,5093000000,1793000000,,
SCHW,2023,Q1,2022-03-31,4672000000,1402000000,,
SCHW,2023,FY,2021-12-31,18520000000,5855000000,,
SCHW,2022,Q3,2021-09-30,4570000000,1526000000,,
SCHW,2021,Q2,2021-06-30,4527000000,1265000000,,
SCHW,2022,Q1,2021-03-31,4715000000,1484000000,,
SCHW,2020,FY,2020-12-31,4176000000,1135000000,,
SCHW,2020,FY,2020-09-30,2448000000,698000000,,
SCHW,2020,Q2,2020-06-30,2450000000,671000000,,
