ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
SFM,2026,Q1,2026-03-29,2329179000,163724000.0,772294000.0,837798000.0
SFM,2025,FY,2025-12-28,8806159000,523670000.0,,
SFM,2025,Q3,2025-09-28,2200430000,120116000.0,817545000.0,781494000.0
SFM,2025,Q2,2025-06-29,2220602000,133703000.0,709328000.0,720987000.0
SFM,2026,Q1,2025-03-30,2236436000,180026000.0,,
SFM,2025,FY,2024-12-29,7719290000,380601000.0,,
SFM,2024,Q3,2024-09-29,1945735000,91610000.0,693597000.0,616024000.0
SFM,2025,Q2,2024-06-30,1893519000,95289000.0,,
SFM,2025,Q1,2024-03-31,1883808000,114100000.0,,
SFM,2025,FY,2023-12-31,6837384000,258856000.0,,
SFM,2024,Q3,2023-10-01,1713282000,65313000.0,,
SFM,2024,Q2,2023-07-02,3425557000,67334000.0,,
SFM,2024,Q1,2023-04-02,1733310000,76160000.0,,
SFM,2024,FY,2023-01-01,6404223000,,,
SFM,2023,Q3,2022-10-02,1591026000,,,
SFM,2022,Q2,2022-07-03,3236643000,150304000.0,644607000.0,515349000.0
SFM,2023,Q1,2022-04-03,1641161000,,,
SFM,2023,FY,2022-01-02,6099869000,244157000.0,,
SFM,2022,Q3,2021-10-03,1509633000,63867000.0,,
SFM,2021,Q2,2021-07-04,3097440000,61014000.0,551379000.0,483542000.0
SFM,2021,Q1,2021-04-04,1575447000,83048000.0,577327000.0,490373000.0
SFM,2020,FY,2021-01-03,1601834000,287450000.0,,
SFM,2021,Q3,2020-09-27,1577598000,219053000.0,,
SFM,2021,Q2,2020-06-28,1642788000,158812000.0,,
