ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
SITE,2026,Q1,2026-03-29,940100000,-24100000.0,1882000000.0,808600000.0
SITE,2025,FY,2025-12-28,4704800000,157400000.0,,
SITE,2025,Q3,2025-09-28,1258200000,60600000.0,1770400000.0,711400000.0
SITE,2025,Q2,2025-06-29,1461600000,104600000.0,1816700000.0,755000000.0
SITE,2026,Q1,2025-03-30,939400000,-27500000.0,,
SITE,2025,FY,2024-12-29,4540600000,124400000.0,,
SITE,2025,Q3,2024-09-29,1208800000,,,
SITE,2025,Q2,2024-06-30,1413900000,,,
SITE,2025,Q1,2024-03-31,904800000,,,
SITE,2023,FY,2023-12-31,4301200000,,1405300000.0,578300000.0
SITE,2024,Q3,2023-10-01,1145100000,,,
SITE,2024,Q2,2023-07-02,1353700000,124000000.0,,
SITE,2024,Q1,2023-04-02,837400000,,,
SITE,2024,FY,2023-01-01,4014500000,,,
SITE,2023,Q3,2022-10-02,1102600000,73300000.0,,
SITE,2023,Q2,2022-07-03,1216600000,,,
SITE,2023,Q1,2022-04-03,805300000,,,
SITE,2023,FY,2022-01-02,3475700000,238400000.0,,
SITE,2021,Q3,2021-10-03,936400000,,1255500000.0,540300000.0
SITE,2022,Q2,2021-07-04,1083900000,,,
SITE,2022,Q1,2021-04-04,650200000,,,
SITE,2022,FY,2021-01-03,2704500000,,,
SITE,2020,Q3,2020-09-27,2029400000,,1115600000.0,406000000.0
SITE,2021,Q2,2020-06-28,817700000,,,
