ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
SMCI,2026,Q3,2026-03-31,10243014000,483386000.0,21568286000.0,8122635000.0
SMCI,2026,Q2,2025-12-31,12682491000,,26124597000.0,15396708000.0
SMCI,2026,Q1,2025-09-30,5017790000,,12661334000.0,2347235000.0
SMCI,2025,FY,2025-06-30,21972042000,1048868000.0,,
SMCI,2026,Q3,2025-03-31,4599913000,,,
SMCI,2025,Q2,2024-12-31,5677962000,,8667070000.0,1357810000.0
SMCI,2026,Q1,2024-09-30,5937256000,424326000.0,,
SMCI,2025,FY,2024-06-30,14989251000,,,
SMCI,2025,Q3,2024-03-31,3850066000,402459000.0,,
SMCI,2024,Q2,2023-12-31,3664924000,,4842355000.0,1992089000.0
SMCI,2025,Q1,2023-09-30,2119672000,,,
SMCI,2025,FY,2023-06-30,7123482000,639998000.0,,
SMCI,2024,Q3,2023-03-31,1283296000,85846000.0,,
SMCI,2023,Q2,2022-12-31,3655325000,,2649503000.0,916940000.0
SMCI,2023,Q1,2022-09-30,1852130000,,2879880000.0,1353355000.0
SMCI,2024,FY,2022-06-30,5196099000,285163000.0,,
SMCI,2023,Q3,2022-03-31,1355490000,76972000.0,,
SMCI,2022,Q2,2021-12-31,2205149000,67373000.0,2293288000.0,1199579000.0
SMCI,2022,Q1,2021-09-30,1032730000,25440000.0,2036955000.0,1101479000.0
SMCI,2023,FY,2021-06-30,3557422000,111865000.0,,
SMCI,2021,Q3,2021-03-31,895881000,72703000.0,1639650000.0,781996000.0
SMCI,2022,Q2,2020-12-31,830306000,27678000.0,,
SMCI,2022,Q1,2020-09-30,762250000,26601000.0,,
SMCI,2021,FY,2020-06-30,3339281000,,1592761000.0,707635000.0
