ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
STWD,2026,Q1,2026-03-31,512456000,57422000.0,,
STWD,2025,FY,2025-12-31,1844289000,443093000.0,,
STWD,2025,Q3,2025-09-30,488878000,79930000.0,,
STWD,2025,Q2,2025-06-30,444283000,242069000.0,,
STWD,2026,Q1,2025-03-31,418180000,112255000.0,,
STWD,2025,FY,2024-12-31,1946843000,,,
STWD,2025,Q3,2024-09-30,479540000,,,
STWD,2025,Q2,2024-06-30,1012914000,,,
STWD,2025,Q1,2024-03-31,523088000,,,
STWD,2025,FY,2023-12-31,2049908000,,,
STWD,2024,Q3,2023-09-30,521547000,47435000.0,,
STWD,2024,Q2,2023-06-30,515669000,,,
STWD,2023,Q1,2023-03-31,490414000,,,
STWD,2024,FY,2022-12-31,1464716000,871475000.0,,
STWD,2023,Q3,2022-09-30,390541000,194562000.0,,
STWD,2023,Q2,2022-06-30,325586000,,,
STWD,2023,Q1,2022-03-31,293992000,324599000.0,,
STWD,2021,FY,2021-12-31,1170088000,,,
STWD,2022,Q3,2021-09-30,302286000,128602000.0,,
STWD,2022,Q2,2021-06-30,290867000,,,
STWD,2022,Q1,2021-03-31,287230000,,,
STWD,2020,FY,2020-12-31,1136155000,114655000.0,,
STWD,2021,Q3,2020-09-30,845593000,151834000.0,,
STWD,2021,Q2,2020-06-30,265606000,,,
