ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
STZ,2027,Q1,2026-05-31,2432700000,653800000.0,3041000000.0,3329000000.0
STZ,2026,FY,2026-02-28,1920200000,201800000.0,,
STZ,2026,Q3,2025-11-30,2222800000,502800000.0,2909100000.0,2173200000.0
STZ,2026,Q2,2025-08-31,2481000000,466000000.0,2878900000.0,2659400000.0
STZ,2027,Q1,2025-05-31,2515000000,516100000.0,,
STZ,2026,FY,2025-02-28,2164200000,-81400000.0,,
STZ,2025,Q3,2024-11-30,2463800000,,3629500000.0,3289000000.0
STZ,2026,Q2,2024-08-31,2918900000,,,
STZ,2026,Q1,2024-05-31,2661800000,,,
STZ,2026,FY,2024-02-29,9961800000,,,
STZ,2025,Q3,2023-11-30,2470900000,509100000.0,,
STZ,2025,Q2,2023-08-31,5351700000,825900000.0,,
STZ,2025,Q1,2023-05-31,2514900000,135900000.0,,
STZ,2024,FY,2023-02-28,1997800000,-71000000.0,3496100000.0,2968300000.0
STZ,2024,Q3,2022-11-30,2436500000,,,
STZ,2023,Q2,2022-08-31,2655100000,-761700000.0,3530200000.0,2511900000.0
STZ,2024,Q1,2022-05-31,2363200000,389500000.0,,
STZ,2023,FY,2022-02-28,2102500000,395400000.0,,
STZ,2023,Q3,2021-11-30,2320600000,-435800000.0,,
STZ,2022,Q2,2021-08-31,4397600000,,2943700000.0,2187100000.0
STZ,2023,Q1,2021-05-31,2026500000,-908100000.0,,
STZ,2022,FY,2021-02-28,1953000000,,3044500000.0,1269100000.0
STZ,2022,Q3,2020-11-30,2438100000,1280900000.0,,
STZ,2022,Q2,2020-08-31,2260400000,512100000.0,,
