ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
SYK,2026,Q1,2026-03-31,6020000000,745000000.0,13338000000.0,6315000000.0
SYK,2025,FY,2025-12-31,7171000000,849000000.0,,
SYK,2025,FY,2025-09-30,6057000000,859000000.0,,
SYK,2025,FY,2025-06-30,6022000000,884000000.0,,
SYK,2025,Q1,2025-03-31,5866000000,,13022000000.0,7929000000.0
SYK,2025,FY,2024-12-31,22595000000,546000000.0,,
SYK,2024,Q3,2024-09-30,5494000000,,14673000000.0,7669000000.0
SYK,2025,FY,2024-06-30,5422000000,,,
SYK,2024,Q1,2024-03-31,5243000000,,11892000000.0,6955000000.0
SYK,2024,FY,2023-12-31,5815000000,,,
SYK,2024,Q3,2023-09-30,14683000000,,,
SYK,2024,FY,2023-06-30,4996000000,,,
SYK,2024,FY,2023-03-31,4778000000,592000000.0,,
SYK,2023,FY,2022-12-31,18449000000,,10275000000.0,6303000000.0
SYK,2023,FY,2022-09-30,4479000000,816000000.0,,
SYK,2023,Q2,2022-06-30,8768000000,,,
SYK,2023,FY,2022-03-31,4275000000,323000000.0,,
SYK,2023,FY,2021-12-31,17108000000,1994000000.0,,
SYK,2021,Q3,2021-09-30,12407000000,,9460000000.0,4449000000.0
SYK,2021,Q2,2021-06-30,8247000000,592000000.0,9032000000.0,4252000000.0
SYK,2022,Q1,2021-03-31,3953000000,,,
SYK,2021,FY,2020-12-31,4262000000,,9707000000.0,5041000000.0
SYK,2020,Q3,2020-09-30,10089000000,,13545000000.0,4689000000.0
SYK,2021,FY,2020-06-30,2764000000,,,
