ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
TECH,2026,Q3,2026-03-31,311415000,51047000.0,688050000.0,153278000.0
TECH,2026,Q2,2025-12-31,582432000,,637432000.0,140426000.0
TECH,2026,Q1,2025-09-30,286555000,,609507000.0,144545000.0
TECH,2025,FY,2025-06-30,1219635000,73400000.0,,
TECH,2026,Q3,2025-03-31,316181000,,,
TECH,2025,Q2,2024-12-31,586489000,,634640000.0,161256000.0
TECH,2025,Q1,2024-09-30,289458000,,648567000.0,142128000.0
TECH,2025,FY,2024-06-30,1159060000,168105000.0,,
TECH,2025,Q3,2024-03-31,303428000,,,
TECH,2024,Q2,2023-12-31,549533000,,590640000.0,135231000.0
TECH,2025,Q1,2023-09-30,276935000,50993000.0,,
TECH,2025,FY,2023-06-30,1136702000,285263000.0,,
TECH,2024,Q3,2023-03-31,294146000,,,
TECH,2024,Q2,2022-12-31,271581000,50005000.0,,
TECH,2024,Q1,2022-09-30,269655000,,,
TECH,2022,FY,2022-06-30,1105599000,,,
TECH,2023,Q3,2022-03-31,290376000,,,
TECH,2023,Q2,2021-12-31,269276000,80173000.0,,
TECH,2023,Q1,2021-09-30,257719000,,,
TECH,2023,FY,2021-06-30,931032000,,,
TECH,2022,Q3,2021-03-31,672004000,,,
TECH,2022,Q2,2020-12-31,224253000,46274000.0,,
TECH,2022,Q1,2020-09-30,204199000,,,
TECH,2022,FY,2020-06-30,738691000,,,
