ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
TER,2026,Q1,2026-03-29,1282494000,398908000.0,2173173000.0,1012211000.0
TER,2025,FY,2025-12-31,3190024000,554047000.0,,
TER,2025,Q3,2025-09-28,769210000,296827000.0,1750158000.0,994989000.0
TER,2025,Q2,2025-06-29,651797000,177269000.0,1583607000.0,675265000.0
TER,2026,Q1,2025-03-30,685680000,98896000.0,,
TER,2025,FY,2024-12-31,2819880000,,,
TER,2025,Q3,2024-09-29,737298000,,,
TER,2025,Q2,2024-06-30,729879000,,,
TER,2024,Q1,2024-03-31,599819000,64197000.0,2065393000.0,554359000.0
TER,2023,FY,2023-12-31,2676298000,,,
TER,2023,Q3,2023-10-01,2005699000,,2099359000.0,640659000.0
TER,2024,Q2,2023-07-02,1301966000,,,
TER,2024,Q1,2023-04-02,617529000,83531000.0,,
TER,2024,FY,2022-12-31,3155045000,,,
TER,2022,Q3,2022-10-02,2423209000,,2127554000.0,701941000.0
TER,2022,Q2,2022-07-03,1596136000,,2270435000.0,797385000.0
TER,2022,Q1,2022-04-03,755370000,,2374382000.0,712199000.0
TER,2022,FY,2021-12-31,3702881000,,,
TER,2021,Q3,2021-10-03,2817835000,,2521184000.0,753609000.0
TER,2021,Q2,2021-07-04,1867334000,533831000.0,2699472000.0,985362000.0
TER,2022,Q1,2021-04-04,781606000,205512000.0,,
TER,2022,FY,2020-12-31,3121469000,784147000.0,,
TER,2020,FY,2020-09-27,819484000,222718000.0,,
TER,2020,Q2,2020-06-28,838661000,,2094007000.0,729713000.0
