ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
TFX,2026,Q1,2026-03-31,548262000,-8154000.0,1859670000.0,728049000.0
TFX,2025,FY,2025-12-31,568984000,-714329000.0,,
TFX,2025,FY,2025-09-28,566946000,-408894000.0,,
TFX,2025,FY,2025-06-29,442525000,,,
TFX,2026,Q1,2025-03-30,414258000,,,
TFX,2024,FY,2024-12-31,3047324000,,,
TFX,2025,Q3,2024-09-29,764375000,111004000.0,,
TFX,2025,FY,2024-06-30,418512000,80038000.0,,
TFX,2025,FY,2024-03-31,412824000,,,
TFX,2025,FY,2023-12-31,1712441000,356328000.0,,
TFX,2023,Q3,2023-10-01,2200580000,,2097271000.0,585422000.0
TFX,2024,Q2,2023-07-02,743259000,,,
TFX,2023,Q1,2023-04-02,710932000,,1428054000.0,575712000.0
TFX,2024,FY,2022-12-31,2791041000,363139000.0,,
TFX,2023,Q3,2022-09-25,2033045000,101895000.0,,
TFX,2023,Q2,2022-06-26,704542000,,,
TFX,2023,Q1,2022-03-27,641715000,,,
TFX,2023,FY,2021-12-31,2809563000,485374000.0,,
TFX,2022,Q3,2021-09-26,700251000,199181000.0,,
TFX,2021,Q2,2021-06-27,713473000,,1437228000.0,526848000.0
TFX,2021,Q1,2021-03-28,633925000,,1378783000.0,508053000.0
TFX,2020,FY,2020-12-31,2537156000,76131000.0,,
TFX,2020,Q3,2020-09-27,1825977000,259193000.0,1420561000.0,475247000.0
TFX,2020,FY,2020-06-28,567034000,,,
