ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
TRMB,2026,Q1,2026-04-03,939900000,98900000.0,1392700000.0,1373700000.0
TRMB,2025,FY,2026-01-02,3587300000,424000000.0,,
TRMB,2025,Q3,2025-10-03,901200000,267400000.0,1258600000.0,1253600000.0
TRMB,2025,Q2,2025-07-04,875700000,155900000.0,1289600000.0,1377100000.0
TRMB,2026,Q1,2025-04-04,840600000,66700000.0,,
TRMB,2024,FY,2025-01-03,3683300000,1504400000.0,,
TRMB,2024,Q3,2024-09-27,875800000,40600000.0,2310700000.0,1986600000.0
TRMB,2025,Q2,2024-06-28,870800000,1316400000.0,,
TRMB,2025,Q1,2024-03-29,953300000,,,
TRMB,2023,FY,2023-12-29,3798700000,311300000.0,,
TRMB,2024,Q3,2023-09-29,957300000,,,
TRMB,2024,Q2,2023-06-30,993600000,,,
TRMB,2023,Q1,2023-03-31,915400000,,2238900000.0,1480900000.0
TRMB,2023,FY,2022-12-30,3676300000,449700000.0,1518200000.0,1462100000.0
TRMB,2023,Q3,2022-09-30,884900000,,,
TRMB,2023,Q2,2022-07-01,941200000,,,
TRMB,2023,Q1,2022-04-01,993700000,,,
TRMB,2021,FY,2021-12-31,3659100000,,,
TRMB,2021,Q3,2021-10-01,2733100000,124000000.0,1560500000.0,1141200000.0
TRMB,2021,Q2,2021-07-02,945300000,,1494500000.0,1168500000.0
TRMB,2021,Q1,2021-04-02,886700000,114500000.0,1260000000.0,1151600000.0
TRMB,2020,FY,2021-01-01,3152000000,,,
TRMB,2020,Q3,2020-10-02,2322000000,,1100600000.0,1191500000.0
TRMB,2020,Q2,2020-07-03,1529200000,125100000.0,1120000000.0,1170500000.0
