ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
TSCO,2026,Q1,2026-03-28,3592046000,164524000.0,4041596000.0,2929721000.0
TSCO,2025,FY,2025-12-27,15524046000,1096087000.0,,
TSCO,2025,Q3,2025-09-27,3719044000,259268000.0,3647116000.0,2802302000.0
TSCO,2025,Q2,2025-06-28,4439729000,,3543765000.0,2762652000.0
TSCO,2026,Q1,2025-03-29,3466952000,179369000.0,3656082000.0,2600514000.0
TSCO,2025,FY,2024-12-28,14883231000,,,
TSCO,2025,Q3,2024-09-28,3468245000,241470000.0,3483161000.0,2345709000.0
TSCO,2025,Q2,2024-06-29,4246622000,,3639625000.0,2544535000.0
TSCO,2025,Q1,2024-03-30,3394834000,198167000.0,3519484000.0,2517755000.0
TSCO,2024,FY,2023-12-30,14555741000,,,
TSCO,2024,Q3,2023-09-30,3411980000,255001000.0,3534114000.0,2318796000.0
TSCO,2024,Q2,2023-07-01,4184695000,,3577274000.0,2237464000.0
TSCO,2024,Q1,2023-04-01,3299225000,,3458921000.0,2349700000.0
TSCO,2023,FY,2022-12-31,14204717000,1088712000.0,,
TSCO,2023,Q3,2022-09-24,3270804000,234137000.0,3109805000.0,2095200000.0
TSCO,2023,Q2,2022-06-25,3903406000,,3230396000.0,2242178000.0
TSCO,2022,Q1,2022-03-26,3024132000,,3168275000.0,2199664000.0
TSCO,2023,FY,2021-12-25,12731105000,,,
TSCO,2022,Q3,2021-09-25,3017926000,224400000.0,3467861000.0,2046007000.0
TSCO,2021,Q2,2021-06-26,3601559000,370022000.0,,
TSCO,2022,Q1,2021-03-27,2792336000,,3380834000.0,1975925000.0
TSCO,2022,FY,2020-12-26,10620352000,748958000.0,,
TSCO,2021,Q3,2020-09-26,2606572000,,3170962000.0,2132663000.0
TSCO,2020,Q2,2020-06-27,3176327000,,,
