ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
TSN,2026,Q2,2026-03-28,13653000000,264000000.0,8874000000.0,4848000000.0
TSN,2026,Q1,2025-12-27,14313000000,90000000.0,9512000000.0,6203000000.0
TSN,2025,FY,2025-09-27,54441000000,507000000.0,,
TSN,2025,Q3,2025-06-28,40581000000,61000000.0,9859000000.0,5690000000.0
TSN,2026,Q2,2025-03-29,13074000000,,,
TSN,2026,Q1,2024-12-28,13623000000,,,
TSN,2025,FY,2024-09-28,53309000000,,9751000000.0,4787000000.0
TSN,2025,Q3,2024-06-29,13353000000,458000000.0,,
TSN,2024,Q2,2024-03-30,26391000000,,9966000000.0,5633000000.0
TSN,2025,Q1,2023-12-30,13319000000,,,
TSN,2024,FY,2023-09-30,52881000000,,8722000000.0,6499000000.0
TSN,2023,Q3,2023-07-01,13140000000,-206000000.0,8883000000.0,4948000000.0
TSN,2024,Q2,2023-04-01,13133000000,-91000000.0,,
TSN,2024,Q1,2022-12-31,13260000000,,,
TSN,2024,FY,2022-10-01,53282000000,3238000000.0,,
TSN,2023,Q3,2022-07-02,13495000000,,,
TSN,2023,Q2,2022-04-02,13117000000,,,
TSN,2023,Q1,2022-01-01,12933000000,1121000000.0,,
TSN,2022,FY,2021-10-02,47049000000,,9822000000.0,6325000000.0
TSN,2022,Q3,2021-07-03,12478000000,,,
TSN,2022,Q2,2021-04-03,11300000000,,,
TSN,2021,Q1,2021-01-02,10460000000,472000000.0,8544000000.0,4849000000.0
TSN,2022,FY,2020-10-03,43185000000,,,
TSN,2020,FY,2020-06-27,10022000000,,,
