ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
TTC,2026,Q2,2026-05-01,1424700000,213300000.0,1760200000.0,1131200000.0
TTC,2026,Q1,2026-01-30,1036300000,67900000.0,1736500000.0,1028500000.0
TTC,2025,FY,2025-10-31,4510400000,316100000.0,,
TTC,2025,Q3,2025-08-01,1131300000,53500000.0,1794100000.0,955900000.0
TTC,2026,Q2,2025-05-02,2312900000,136800000.0,1978900000.0,1091200000.0
TTC,2025,Q1,2025-01-31,995000000,,,
TTC,2024,FY,2024-10-31,4583800000,,,
TTC,2024,Q3,2024-08-02,1156900000,,,
TTC,2025,Q2,2024-05-03,1349000000,144800000.0,2019200000.0,1048700000.0
TTC,2025,Q1,2024-02-02,1001900000,64900000.0,1966500000.0,921900000.0
TTC,2025,FY,2023-10-31,4553200000,,,
TTC,2023,Q3,2023-08-04,3569950000,,,
TTC,2023,Q2,2023-05-05,2488166000,,1826834000.0,1024001000.0
TTC,2024,Q1,2023-02-03,1148800000,,,
TTC,2024,FY,2022-10-31,4514700000,,,
TTC,2022,Q3,2022-07-29,3342678000,,,
TTC,2022,Q2,2022-04-29,1249478000,,,
TTC,2023,Q1,2022-01-28,932650000,,1437263000.0,986064000.0
TTC,2021,FY,2021-10-31,3959584000,,,
TTC,2021,Q3,2021-07-30,2998929000,,,
TTC,2022,Q2,2021-04-30,2022093000,,,
TTC,2022,Q1,2021-01-29,872986000,,,
TTC,2020,FY,2020-10-31,840957000,,,
TTC,2021,Q3,2020-07-31,840972000,,1384246000.0,797112000.0
