ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
TT,2026,Q1,2026-03-31,4969400000,589500000.0,8000900000.0,7305600000.0
TT,2025,FY,2025-12-31,21321900000,2935700000.0,,
TT,2025,Q3,2025-09-30,5742500000,847600000.0,7859500000.0,6523300000.0
TT,2025,Q2,2025-06-30,10434900000,1479700000.0,7506200000.0,6799300000.0
TT,2026,Q1,2025-03-31,4688500000,,,
TT,2024,FY,2024-12-31,19838200000,2567900000.0,,
TT,2024,Q3,2024-09-30,5441200000,1977600000.0,8099700000.0,6628900000.0
TT,2025,Q2,2024-06-30,5307400000,,,
TT,2025,Q1,2024-03-31,4215500000,,,
TT,2023,FY,2023-12-31,17677600000,,,
TT,2024,Q3,2023-09-30,4882900000,1519600000.0,,
TT,2024,Q2,2023-06-30,4704700000,,,
TT,2023,Q1,2023-03-31,3665800000,,6074800000.0,4831400000.0
TT,2024,FY,2022-12-31,15991700000,1774700000.0,,
TT,2023,Q3,2022-09-30,4371900000,,,
TT,2022,Q2,2022-06-30,4190400000,,6125200000.0,5630300000.0
TT,2022,Q1,2022-03-31,3355500000,,6030500000.0,4594400000.0
TT,2021,FY,2021-12-31,14136400000,,,
TT,2022,Q3,2021-09-30,10567100000,1115500000.0,,
TT,2021,Q2,2021-06-30,3829700000,,7125100000.0,4512900000.0
TT,2021,Q1,2021-03-31,3017600000,237800000.0,6622100000.0,4174600000.0
TT,2022,FY,2020-12-31,12454700000,,,
TT,2021,Q3,2020-09-30,9275600000,,,
TT,2020,Q2,2020-06-30,3138800000,,6344700000.0,3829200000.0
