ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
TXN,2026,Q2,2026-06-30,5463000000,1980000000.0,15757000000.0,3244000000.0
TXN,2026,Q1,2026-03-31,4825000000,1545000000.0,13796000000.0,3096000000.0
TXN,2025,FY,2025-12-31,17682000000,5001000000.0,,
TXN,2025,Q3,2025-09-30,4742000000,1364000000.0,13876000000.0,3118000000.0
TXN,2026,Q2,2025-06-30,4448000000,,,
TXN,2026,Q1,2025-03-31,4069000000,1179000000.0,,
TXN,2024,FY,2024-12-31,15641000000,,,
TXN,2024,Q3,2024-09-30,11634000000,,15872000000.0,3686000000.0
TXN,2024,Q2,2024-06-30,3822000000,1127000000.0,16789000000.0,3637000000.0
TXN,2025,Q1,2024-03-31,3661000000,,,
TXN,2025,FY,2023-12-31,17519000000,,,
TXN,2024,Q3,2023-09-30,4532000000,,,
TXN,2023,Q2,2023-06-30,8910000000,,15514000000.0,2711000000.0
TXN,2023,Q1,2023-03-31,4379000000,,15023000000.0,2904000000.0
TXN,2022,FY,2022-12-31,20028000000,,,
TXN,2022,Q3,2022-09-30,5241000000,6787000000.0,13772000000.0,2798000000.0
TXN,2023,Q2,2022-06-30,10117000000,4492000000.0,,
TXN,2023,Q1,2022-03-31,4905000000,,,
TXN,2022,FY,2021-12-31,18344000000,,,
TXN,2022,Q3,2021-09-30,4643000000,1947000000.0,,
TXN,2022,Q2,2021-06-30,4580000000,1931000000.0,,
TXN,2021,Q1,2021-03-31,4289000000,1753000000.0,10405000000.0,1700000000.0
TXN,2020,FY,2020-12-31,14461000000,,,
TXN,2021,Q3,2020-09-30,10385000000,,,
