ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
T,2026,Q2,2026-06-30,31558000000,5010000000.0,51834000000.0,53382000000.0
T,2026,Q1,2026-03-31,31506000000,4181000000.0,46282000000.0,50421000000.0
T,2025,FY,2025-12-31,125648000000,23386000000.0,,
T,2025,Q3,2025-09-30,30709000000,9314000000.0,54579000000.0,53876000000.0
T,2026,Q2,2025-06-30,30847000000,,,
T,2025,Q1,2025-03-31,30626000000,4351000000.0,33780000000.0,47999000000.0
T,2025,FY,2024-12-31,122336000000,,,
T,2025,Q3,2024-09-30,30213000000,,,
T,2025,Q2,2024-06-30,59825000000,7700000000.0,,
T,2025,Q1,2024-03-31,30028000000,,,
T,2024,FY,2023-12-31,122428000000,15623000000.0,,
T,2023,Q3,2023-09-30,90406000000,13041000000.0,35620000000.0,51684000000.0
T,2024,Q2,2023-06-30,29917000000,4762000000.0,,
T,2023,FY,2023-03-31,30139000000,,,
T,2022,FY,2022-12-31,31343000000,,,
T,2023,Q3,2022-09-30,89398000000,,,
T,2023,FY,2022-06-30,29643000000,,,
T,2023,Q1,2022-03-31,29712000000,,,
T,2022,FY,2021-12-31,134038000000,,,
T,2022,FY,2021-09-30,31326000000,,,
T,2022,FY,2021-06-30,35740000000,,,
T,2022,FY,2021-03-31,35877000000,,,
T,2022,FY,2020-12-31,143050000000,,,
T,2021,Q2,2020-09-30,42340000000,9694000000.0,,
