ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
UI,2026,Q3,2026-03-31,788199000,233914000.0,1403540000.0,394100000.0
UI,2026,Q2,2025-12-31,1548640000,,1292883000.0,475523000.0
UI,2026,Q1,2025-09-30,733773000,,1200314000.0,573102000.0
UI,2025,FY,2025-06-30,2573545000,711922000.0,,
UI,2026,Q3,2025-03-31,1814393000,445217000.0,,
UI,2026,Q2,2024-12-31,599879000,,,
UI,2026,Q1,2024-09-30,550344000,,,
UI,2024,FY,2024-06-30,1928490000,,,
UI,2025,Q3,2024-03-31,492997000,,,
UI,2025,Q2,2023-12-31,928032000,,,
UI,2025,Q1,2023-09-30,463078000,,,
UI,2023,FY,2023-06-30,1940512000,,,
UI,2024,Q3,2023-03-31,1449427000,,,
UI,2023,Q2,2022-12-31,493571000,,1044659000.0,514601000.0
UI,2023,Q1,2022-09-30,498083000,,711562000.0,361494000.0
UI,2022,FY,2022-06-30,1691692000,,,
UI,2022,Q3,2022-03-31,1248547000,286153000.0,543272000.0,241344000.0
UI,2023,Q2,2021-12-31,431565000,,,
UI,2023,Q1,2021-09-30,458914000,,,
UI,2022,FY,2021-06-30,1898094000,,694156000.0,276412000.0
UI,2022,Q3,2021-03-31,467237000,,,
UI,2022,Q2,2020-12-31,479436000,,,
UI,2020,Q1,2020-09-30,473533000,,601951000.0,267050000.0
UI,2020,FY,2020-06-30,1284500000,92618000.0,,
