ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
UNM,2026,Q1,2026-03-31,3355200000,232000000,,
UNM,2025,FY,2025-12-31,13075500000,738500000,,
UNM,2025,Q3,2025-09-30,3378400000,39700000,,
UNM,2025,Q2,2025-06-30,3361400000,335600000,,
UNM,2026,Q1,2025-03-31,3091600000,189100000,,
UNM,2024,FY,2024-12-31,12887300000,1779100000,,
UNM,2025,Q3,2024-09-30,3217000000,645700000,,
UNM,2025,Q2,2024-06-30,3233400000,389500000,,
UNM,2024,Q1,2024-03-31,3200300000,395200000,,
UNM,2024,FY,2023-12-31,12385900000,1283800000,,
UNM,2024,Q3,2023-09-30,3092500000,202000000,,
UNM,2023,Q2,2023-06-30,3112200000,392900000,,
UNM,2024,Q1,2023-03-31,3036100000,358300000,,
UNM,2022,FY,2022-12-31,11991000000,1314200000,,
UNM,2022,Q3,2022-09-30,2961900000,410700000,,
UNM,2023,Q2,2022-06-30,3039600000,367300000,,
UNM,2023,Q1,2022-03-31,2980600000,240400000,,
UNM,2022,FY,2021-12-31,12013800000,824200000,,
UNM,2022,Q3,2021-09-30,2969700000,328600000,,
UNM,2021,Q2,2021-06-30,2993000000,182900000,,
UNM,2021,Q1,2021-03-31,3072000000,153000000,,
UNM,2022,FY,2020-12-31,13162100000,793000000,,
UNM,2020,Q3,2020-09-30,8888600000,657600000,,
UNM,2021,Q2,2020-06-30,3021200000,265500000,,
