ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
VLTO,2026,Q1,2026-04-03,1422000000,254000000,2944000000.0,1984000000.0
VLTO,2025,FY,2025-12-31,5503000000,940000000,,
VLTO,2025,Q3,2025-10-03,1404000000,239000000,3195000000.0,2037000000.0
VLTO,2025,Q2,2025-07-04,1371000000,222000000,2953000000.0,1275000000.0
VLTO,2026,Q1,2025-04-04,1332000000,225000000,,
VLTO,2025,FY,2024-12-31,5193000000,833000000,,
VLTO,2025,Q3,2024-09-27,1314000000,219000000,,
VLTO,2025,Q2,2024-06-28,2534000000,387000000,,
VLTO,2024,Q1,2024-03-29,1246000000,184000000,2117000000.0,1156000000.0
VLTO,2025,FY,2023-12-31,5021000000,839000000,,
VLTO,2024,Q3,2023-09-29,3733000000,639000000,,
VLTO,2024,Q2,2023-06-30,1253000000,209000000,,
VLTO,2024,Q1,2023-03-31,1225000000,225000000,,
VLTO,2024,FY,2022-12-31,4870000000,845000000,,
VLTO,2023,Q3,2022-09-30,1219000000,218000000,,
VLTO,2023,FY,2021-12-31,4700000000,861000000,,
