ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
VNO,2026,Q1,2026-03-31,459105000,-22026000.0,,
VNO,2025,FY,2025-12-31,1810425000,937204000.0,,
VNO,2025,Q3,2025-09-30,453700000,27115000.0,,
VNO,2025,Q2,2025-06-30,441437000,813227000.0,,
VNO,2026,Q1,2025-03-31,461579000,99824000.0,,
VNO,2025,FY,2024-12-31,1787686000,20116000.0,,
VNO,2025,Q3,2024-09-30,1329896000,,,
VNO,2025,Q2,2024-06-30,450266000,,,
VNO,2025,Q1,2024-03-31,436375000,-6273000.0,,
VNO,2025,FY,2023-12-31,1811163000,,,
VNO,2023,Q3,2023-09-30,450995000,,,
VNO,2024,Q2,2023-06-30,472359000,62733000.0,,
VNO,2024,Q1,2023-03-31,445923000,20697000.0,,
VNO,2024,FY,2022-12-31,1799995000,,,
VNO,2022,Q3,2022-09-30,457431000,,,
VNO,2023,Q2,2022-06-30,453494000,107954000.0,,
VNO,2023,Q1,2022-03-31,442130000,,,
VNO,2023,FY,2021-12-31,1589210000,207553000.0,,
VNO,2022,Q3,2021-09-30,409212000,63522000.0,,
VNO,2021,Q2,2021-06-30,378941000,,,
VNO,2022,Q1,2021-03-31,379977000,,,
VNO,2022,FY,2020-12-31,1527951000,,,
VNO,2021,Q3,2020-09-30,363962000,,,
VNO,2020,Q2,2020-06-30,787558000,-321855000.0,,
