ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
VOYA,2026,Q1,2026-03-31,520000000,195000000.0,,
VOYA,2025,FY,2025-12-31,8189000000,733000000.0,,
VOYA,2025,Q3,2025-09-30,6078000000,272000000.0,,
VOYA,2025,Q2,2025-06-30,1080000000,166000000.0,,
VOYA,2026,Q1,2025-03-31,1969000000,,,
VOYA,2025,FY,2024-12-31,2150000000,,,
VOYA,2024,Q3,2024-09-30,1956000000,570000000.0,,
VOYA,2024,Q2,2024-06-30,4084000000,,,
VOYA,2024,Q1,2024-03-31,2051000000,,,
VOYA,2025,FY,2023-12-31,1939000000,,,
VOYA,2024,Q3,2023-09-30,491000000,610000000.0,,
VOYA,2024,Q2,2023-06-30,1871000000,,,
VOYA,2024,Q1,2023-03-31,1835000000,,,
VOYA,2022,FY,2022-12-31,5922000000,433000000.0,,
VOYA,2023,Q3,2022-09-30,4375000000,,,
VOYA,2023,Q2,2022-06-30,3030000000,,,
VOYA,2023,Q1,2022-03-31,1506000000,68000000.0,,
VOYA,2023,FY,2021-12-31,4174000000,,,
VOYA,2021,Q3,2021-09-30,2009000000,,,
VOYA,2021,Q2,2021-06-30,2503000000,,,
VOYA,2021,Q1,2021-03-31,-1957000000,,,
VOYA,2020,FY,2020-12-31,7649000000,,,
VOYA,2021,Q3,2020-09-30,2071000000,-434000000.0,,
VOYA,2020,Q2,2020-06-30,3348000000,,,
