ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
VRT,2026,Q1,2026-03-31,2649500000,390100000.0,7984600000.0,5343200000.0
VRT,2025,FY,2025-12-31,10229900000,1332800000.0,,
VRT,2025,Q3,2025-09-30,2675800000,398500000.0,6549200000.0,3576800000.0
VRT,2025,Q2,2025-06-30,2638100000,,6302000000.0,3614500000.0
VRT,2026,Q1,2025-03-31,2036000000,,,
VRT,2025,FY,2024-12-31,8011800000,495800000.0,,
VRT,2025,Q3,2024-09-30,5665400000,,,
VRT,2025,Q2,2024-06-30,3591900000,,,
VRT,2025,Q1,2024-03-31,1639100000,,,
VRT,2025,FY,2023-12-31,6863200000,460200000.0,,
VRT,2024,Q3,2023-09-30,1742600000,,,
VRT,2024,Q2,2023-06-30,1734100000,,,
VRT,2023,Q1,2023-03-31,1521100000,,3340600000.0,1971600000.0
VRT,2024,FY,2022-12-31,5691500000,76600000.0,,
VRT,2023,Q3,2022-09-30,4036900000,21200000.0,,
VRT,2022,Q2,2022-06-30,2555800000,20300000.0,2813600000.0,1820400000.0
VRT,2022,Q1,2022-03-31,1156400000,,2724000000.0,1903800000.0
VRT,2021,FY,2021-12-31,4998100000,,,
VRT,2022,Q3,2021-09-30,1228900000,,,
VRT,2022,Q2,2021-06-30,2358700000,,,
VRT,2022,Q1,2021-03-31,1098400000,,,
VRT,2020,FY,2020-12-31,1305500000,74900000.0,,
VRT,2021,Q3,2020-09-30,3065000000,-367800000.0,,
VRT,2021,Q2,2020-06-30,1005700000,,,
