ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
VTRS,2026,Q1,2026-03-31,3517000000,,10916800000.0,6810300000.0
VTRS,2025,FY,2025-12-31,14299900000,-3514900000.0,,
VTRS,2025,Q3,2025-09-30,3759900000,,9951400000.0,7364100000.0
VTRS,2025,Q2,2025-06-30,3569000000,,9774600000.0,7133400000.0
VTRS,2025,Q1,2025-03-31,3243200000,,9622400000.0,5720100000.0
VTRS,2024,FY,2024-12-31,14739300000,,9520700000.0,5779400000.0
VTRS,2024,Q3,2024-09-30,11177400000,,11307700000.0,7512400000.0
VTRS,2024,Q2,2024-06-30,7460000000,,11792100000.0,7709200000.0
VTRS,2025,Q1,2024-03-31,3663400000,,,
VTRS,2024,FY,2023-12-31,15426900000,,12976100000.0,7777400000.0
VTRS,2023,Q3,2023-09-30,11562500000,,10932000000.0,6834000000.0
VTRS,2023,Q2,2023-06-30,3909500000,,9778000000.0,6523800000.0
VTRS,2023,Q1,2023-03-31,3719100000,,9630300000.0,6108100000.0
VTRS,2024,FY,2022-12-31,16218100000,2078600000.0,,
VTRS,2023,Q3,2022-09-30,4078200000,,,
VTRS,2022,Q2,2022-06-30,4116800000,,11176500000.0,7681200000.0
VTRS,2023,Q1,2022-03-31,4191700000,,,
VTRS,2021,FY,2021-12-31,17813600000,,,
VTRS,2021,Q3,2021-09-30,4536600000,,11308400000.0,10103900000.0
VTRS,2021,Q2,2021-06-30,9008100000,,11749800000.0,10132600000.0
VTRS,2022,Q1,2021-03-31,4430300000,,,
VTRS,2020,FY,2020-12-31,11946000000,,,
VTRS,2021,Q3,2020-09-30,8322500000,,,
VTRS,2021,Q2,2020-06-30,2695900000,,,
