ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
WEX,2026,Q2,2026-06-30,513300000,186200000.0,11805700000.0,11302300000.0
WEX,2026,Q1,2026-03-31,673800000,,10714400000.0,10218200000.0
WEX,2025,FY,2025-12-31,1845400000,304100000.0,,
WEX,2025,Q3,2025-09-30,481600000,80300000.0,9715500000.0,9253400000.0
WEX,2025,Q2,2025-06-30,659600000,,9896900000.0,9497400000.0
WEX,2025,Q1,2025-03-31,636600000,,9171000000.0,8761000000.0
WEX,2025,FY,2024-12-31,2628100000,,8515500000.0,8327300000.0
WEX,2025,Q3,2024-09-30,1991600000,,,
WEX,2024,Q2,2024-06-30,948000000,142700000.0,9383100000.0,9069600000.0
WEX,2025,Q1,2024-03-31,652700000,65800000.0,,
WEX,2024,FY,2023-12-31,1838400000,,,
WEX,2024,Q3,2023-09-30,1357800000,18400000.0,,
WEX,2023,Q2,2023-06-30,888500000,,8704600000.0,8334400000.0
WEX,2023,Q1,2023-03-31,444000000,68000000.0,8051200000.0,7502600000.0
WEX,2023,FY,2022-12-31,1689700000,,6817100000.0,6294100000.0
WEX,2023,Q3,2022-09-30,1731900000,78500000.0,,
WEX,2023,Q2,2022-06-30,811000000,34100000.0,,
WEX,2022,Q1,2022-03-31,517535000,,6337739000.0,5253445000.0
WEX,2023,FY,2021-12-31,1345800000,135300000.0,,
WEX,2022,Q3,2021-09-30,482764000,51868000.0,,
WEX,2022,Q2,2021-06-30,459483000,32446000.0,,
WEX,2021,Q1,2021-03-31,301181000,,3708411000.0,3307745000.0
WEX,2020,FY,2020-12-31,1559869000,,,
WEX,2020,Q3,2020-09-30,382116000,,4031089000.0,2672409000.0
