ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
WING,2026,Q1,2026-03-28,183725000,29883000.0,216945000.0,96740000.0
WING,2025,FY,2025-12-27,696853000,174267000.0,,
WING,2025,Q3,2025-09-27,175736000,28478000.0,320204000.0,78977000.0
WING,2025,Q2,2025-06-28,174329000,,312840000.0,71586000.0
WING,2026,Q1,2025-03-29,171094000,92265000.0,,
WING,2025,FY,2024-12-28,625807000,108717000.0,,
WING,2025,Q3,2024-09-28,162498000,25732000.0,,
WING,2024,Q2,2024-06-29,301488000,,162788000.0,84536000.0
WING,2025,Q1,2024-03-30,145789000,28747000.0,,
WING,2024,FY,2023-12-30,460055000,70175000.0,144344000.0,71004000.0
WING,2024,Q3,2023-09-30,117104000,19511000.0,,
WING,2024,Q2,2023-07-01,107173000,,,
WING,2024,Q1,2023-04-01,108721000,,,
WING,2024,FY,2022-12-31,357521000,,,
WING,2022,Q3,2022-09-24,92672000,,223091000.0,60655000.0
WING,2022,Q2,2022-06-25,83777000,13307000.0,209479000.0,52665000.0
WING,2023,Q1,2022-03-26,76205000,,,
WING,2023,FY,2021-12-25,282502000,42658000.0,,
WING,2021,Q3,2021-09-25,210474000,,88802000.0,59309000.0
WING,2022,Q2,2021-06-26,74000000,,,
WING,2021,Q1,2021-03-27,70690000,,81144000.0,48178000.0
WING,2020,FY,2020-12-26,248811000,,,
WING,2020,Q3,2020-09-26,185529000,,82285000.0,57420000.0
WING,2021,Q2,2020-06-27,66105000,,,
