ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
WMB,2026,Q1,2026-03-31,4718000000,912000000.0,3320000000.0,4006000000.0
WMB,2025,FY,2025-12-31,14899000000,2618000000.0,,
WMB,2025,Q3,2025-09-30,11056000000,1884000000.0,2271000000.0,5377000000.0
WMB,2025,Q2,2025-06-30,2781000000,1237000000.0,3221000000.0,6012000000.0
WMB,2026,Q1,2025-03-31,3048000000,,,
WMB,2025,FY,2024-12-31,12632000000,2225000000.0,,
WMB,2025,Q3,2024-09-30,9221000000,706000000.0,,
WMB,2025,Q2,2024-06-30,2336000000,1088000000.0,,
WMB,2025,Q1,2024-03-31,3339000000,662000000.0,,
WMB,2024,FY,2023-12-31,10907000000,,,
WMB,2024,Q3,2023-09-30,3061000000,654000000.0,,
WMB,2024,Q2,2023-06-30,2483000000,494000000.0,,
WMB,2024,Q1,2023-03-31,3119000000,927000000.0,,
WMB,2023,FY,2022-12-31,10965000000,,,4890000000.0
WMB,2022,Q3,2022-09-30,4967000000,,4438000000.0,5017000000.0
WMB,2023,Q2,2022-06-30,5014000000,407000000.0,,
WMB,2023,Q1,2022-03-31,2524000000,,,
WMB,2023,FY,2021-12-31,12784000000,,,
WMB,2021,Q3,2021-09-30,7370000000,,2885000000.0,4940000000.0
WMB,2022,Q2,2021-06-30,4895000000,757000000.0,,
WMB,2021,Q1,2021-03-31,2629000000,435000000.0,2497000000.0,3535000000.0
WMB,2020,FY,2020-12-31,7653000000,,,
WMB,2020,Q3,2020-09-30,5627000000,,1403000000.0,1861000000.0
WMB,2021,Q2,2020-06-30,1781000000,,,
