ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
XEL,2019,Q3,2019-09-30,3013000000,,,
XEL,2019,Q2,2019-06-30,2577000000,,,
XEL,2019,Q1,2019-03-31,3141000000,,,
XEL,2018,FY,2018-12-31,11537000000,,,
XEL,2018,Q3,2018-09-30,8657000000,,,
XEL,2019,Q2,2018-06-30,2658000000,,,
XEL,2018,FY,2018-03-31,2951000000,,,
XEL,2018,FY,2017-12-31,11404000000,,,
XEL,2018,Q3,2017-09-30,3017000000,,,
XEL,2017,FY,2017-06-30,2645000000,,,
XEL,2018,Q1,2017-03-31,2804000000,,,
XEL,2017,FY,2016-12-31,2795000000,,,
XEL,2017,FY,2016-09-30,3040000000,,,
XEL,2017,Q2,2016-06-30,2499849000,,,
XEL,2016,FY,2016-03-31,2772273000,,,
XEL,2015,FY,2015-12-31,11024486000,,,
XEL,2016,FY,2015-09-30,2901312000,,,
XEL,2015,Q2,2015-06-30,5477353000,,,
XEL,2016,FY,2015-03-31,2962219000,,,
XEL,2014,FY,2014-12-31,11686135000,,,
XEL,2015,FY,2014-09-30,2869807000,,,
XEL,2014,FY,2014-06-30,2685096000,,,
XEL,2014,FY,2014-03-31,3202604000,,,
XEL,2013,FY,2013-12-31,10914922000,,,
