ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
ZBRA,2026,Q1,2026-04-04,1495000000,135000000.0,1695000000.0,1763000000.0
ZBRA,2025,FY,2025-12-31,5396000000,419000000.0,,
ZBRA,2025,Q3,2025-09-27,1320000000,101000000.0,2576000000.0,1603000000.0
ZBRA,2025,Q2,2025-06-28,1293000000,,2334000000.0,1594000000.0
ZBRA,2026,Q1,2025-03-29,1308000000,136000000.0,,
ZBRA,2025,FY,2024-12-31,4981000000,528000000.0,,
ZBRA,2024,Q3,2024-09-28,1255000000,,2133000000.0,1562000000.0
ZBRA,2025,Q2,2024-06-29,2392000000,,,
ZBRA,2025,Q1,2024-03-30,1175000000,,,
ZBRA,2025,FY,2023-12-31,4584000000,,,
ZBRA,2024,Q3,2023-09-30,956000000,-15000000.0,,
ZBRA,2023,Q2,2023-07-01,2619000000,,1753000000.0,1770000000.0
ZBRA,2023,Q1,2023-04-01,1405000000,,1818000000.0,2074000000.0
ZBRA,2024,FY,2022-12-31,5781000000,463000000.0,,
ZBRA,2023,Q3,2022-10-01,1378000000,,,
ZBRA,2022,Q2,2022-07-02,2900000000,,1806000000.0,2113000000.0
ZBRA,2023,Q1,2022-04-02,1432000000,205000000.0,,
ZBRA,2023,FY,2021-12-31,5627000000,,,
ZBRA,2022,Q3,2021-10-02,1436000000,199000000.0,,
ZBRA,2022,Q2,2021-07-03,2724000000,,,
ZBRA,2022,Q1,2021-04-03,1347000000,,,
ZBRA,2020,FY,2020-12-31,1308000000,199000000.0,,
ZBRA,2021,Q3,2020-09-26,1132000000,116000000.0,,
ZBRA,2021,Q2,2020-06-27,956000000,,,
